Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM,Total,,,,,
1/1/2004,3.9,0,268,0,271.9,,,,,
2/1/2004,3.9,0,268,0,271.9,,,,,
3/1/2004,3.9,0,267,0,270.9,,,,,
4/1/2004,3.9,0,267,0,270.9,,,,,
5/1/2004,3.8,0,267,0,270.8,,Count when level <  230,,,276
6/1/2004,3.8,0,266,0,269.8,,,,,
7/1/2004,3.8,0,266,0,269.8,,,,,
8/1/2004,3.7,0,265,0,268.7,,,,,
9/1/2004,3.7,0,264,0,267.7,,,,,
10/1/2004,3.7,0,264,0,267.7,,,,,
11/1/2004,3.6,0,263,0,266.6,,,,,
12/1/2004,3.6,0,262,0,265.6,,,,,
13-01-2004,3.6,0,261,0,264.6,,,,,
14-01-2004,3.5,0,260,0,263.5,,,,,
15-01-2004,3.5,0,259,0,262.5,,,,,
16-01-2004,3.4,0,258,0,261.4,,,,,
17-01-2004,3.4,0,256,0,259.4,,,,,
18-01-2004,3.4,0,254,0,257.4,,,,,
19-01-2004,3.4,0,252,0,255.4,,,,,
20-01-2004,3.4,0,250,0,253.4,,,,,
21-01-2004,3.3,0,247,0,250.3,,,,,
22-01-2004,3.3,0,244,0,247.3,,,,,
23-01-2004,3.3,0,242,0,245.3,,,,,
24-01-2004,3.3,0,239,0,242.3,,,,,
25-01-2004,3.2,0,237,0,240.2,,,,,
26-01-2004,3.2,0,234,0,237.2,,,,,
27-01-2004,3.9,0,232,0,235.9,,,,,
28-01-2004,4.9,0,230,0,234.9,,,,,
29-01-2004,4.9,0,227,0,231.9,,,,,
30-01-2004,4.9,0,225,0,229.9,,,,,
31-01-2004,4.8,0,223,0,227.8,,,,,
1/2/2004,4.8,0,220,0,224.8,,,,,
2/2/2004,4.8,0,218,0,222.8,,,,,
3/2/2004,4.7,0,216,0,220.7,,,,,
4/2/2004,4.7,0,213,0,217.7,,,,,
5/2/2004,4.7,0,211,0,215.7,,,,,
6/2/2004,4.6,0,209,0,213.6,,,,,
7/2/2004,4.6,0,206,0,210.6,,,,,
8/2/2004,4.6,0,204,0,208.6,,,,,
9/2/2004,4.5,0,202,0,206.5,,,,,
10/2/2004,4.5,0,200,0,204.5,,,,,
11/2/2004,4.5,0,197,0,201.5,,,,,
