Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM,Total,,,
1/1/2004,0,0,0,0,0,,,
2/1/2004,0,0,0,0,0,,,
3/1/2004,0,0,0,0,0,,,
4/1/2004,0,0,0,0,0,,,
5/1/2004,0,0,0,0,0,,,
6/1/2004,0,0,0,0,0,,Min rainfall,0
7/1/2004,0,0,0,0,0,,Max rainfall,1277.4
8/1/2004,0,0,0,0,0,,average,14.66238711
9/1/2004,0,0,0,0,0,,,
10/1/2004,0,0,0,0,0,,,
11/1/2004,0,0,0,0,0,,,
12/1/2004,0,0,0,0,0,,,
13-01-2004,0,0,0,0,0,,,
14-01-2004,0,0,0,0,0,,,
15-01-2004,0,0,0,0,0,,,
16-01-2004,0,0,0,0,0,,,
17-01-2004,0,0,0,0,0,,,
18-01-2004,0,0,0,0,0,,,
19-01-2004,0,0,0,0,0,,,
20-01-2004,0,0,0,0,0,,,
21-01-2004,0,0,0,0,0,,,
22-01-2004,0,0,0,0,0,,,
23-01-2004,0,0,0,0,0,,,
24-01-2004,0,0,0,0,0,,,
25-01-2004,0,0,0,0,0,,,
26-01-2004,0,0,0,0,0,,,
27-01-2004,31,3,2,3,39,,,
28-01-2004,33,4,17,18,72,,,
29-01-2004,0,0,0,0,0,,,
30-01-2004,0,0,0,0,0,,,
31-01-2004,0,0,0,0,0,,,
1/2/2004,0,0,0,0,0,,,
2/2/2004,0,0,0,0,0,,,
3/2/2004,0,0,0,0,0,,,
4/2/2004,0,0,0,0,0,,,
5/2/2004,0,0,0,0,0,,,
6/2/2004,0,0,0,0,0,,,
7/2/2004,0,0,0,0,0,,,
8/2/2004,0,0,0,0,0,,,
9/2/2004,0,0,0,0,0,,,
10/2/2004,0,0,0,0,0,,,
11/2/2004,0,0,0,0,0,,,
12/2/2004,0,0,0,0,0,,,
13-02-2004,0,0,0,0,0,,,
14-02-2004,0,0,0,0,0,,,
15-02-2004,0,0,0,0,0,,,
16-02-2004,0,0,0,0,0,,,
17-02-2004,0,0,0,0,0,,,
18-02-2004,0,0,0,0,0,,,
19-02-2004,0,0,0,0,0,,,
20-02-2004,0,0,0,0,0,,,
21-02-2004,0,0,0,0,0,,,
22-02-2004,0,0,0,0,0,,,
23-02-2004,0,0,0,0,0,,,
24-02-2004,0,0,0,0,0,,,
25-02-2004,0,0,0,0,0,,,
26-02-2004,0,0,0,0,0,,,
27-02-2004,0,0,0,0,0,,,
28-02-2004,0,0,0,0,0,,,
29-02-2004,0,0,0,0,0,,,
1/3/2004,0,0,0,0,0,,,
2/3/2004,0,0,0,0,0,,,
3/3/2004,0,0,0,0,0,,,
4/3/2004,0,0,0,0,0,,,
5/3/2004,0,0,0,0,0,,,
6/3/2004,0,0,0,0,0,,,
7/3/2004,0,0,0,0,0,,,
8/3/2004,0,0,0,0,0,,,
